"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 20 15:24:28 GMT 2022","Wed Jul 20 15:24:29 GMT 2022","692","tests","test_github_issue","","","","test_steps_dynamic",""
"broken","Wed Jul 20 15:24:25 GMT 2022","Wed Jul 20 15:24:28 GMT 2022","2942","tests","test_github_issue","","","","test_github_selene",""
"broken","Wed Jul 20 15:24:29 GMT 2022","Wed Jul 20 15:24:29 GMT 2022","677","tests","test_github_issue","","","","test_steps_decorate",""
